season,holiday,workingday,weather,temp,atemp,humidity,windspeed,hour,weekday,month,year,is_weekend,morning_rush,evening_rush,weekend_daytime,is_night,hour_workingday,hour_weekend,temp_atemp_diff,discomfort_index,is_humidity_zero,bad_weather
1,0,0,1,9.84,14.395,81,0.0,0,5,1,0,1,0,0,0,1,0,0,-4.555,7.9704,0,0
1,0,0,1,9.02,13.635,80,0.0,1,5,1,0,1,0,0,0,1,0,1,-4.615,7.215999999999999,0,0
1,0,0,1,9.02,13.635,80,0.0,2,5,1,0,1,0,0,0,1,0,2,-4.615,7.215999999999999,0,0
1,0,0,1,9.84,14.395,75,0.0,3,5,1,0,1,0,0,0,1,0,3,-4.555,7.38,0,0
1,0,0,1,9.84,14.395,75,0.0,4,5,1,0,1,0,0,0,1,0,4,-4.555,7.38,0,0
1,0,0,2,9.84,12.88,75,6.0032,5,5,1,0,1,0,0,0,1,0,5,-3.040000000000001,7.38,0,0
1,0,0,1,9.02,13.635,80,0.0,6,5,1,0,1,0,0,0,0,0,6,-4.615,7.215999999999999,0,0
1,0,0,1,8.2,12.88,86,0.0,7,5,1,0,1,0,0,0,0,0,7,-4.6800000000000015,7.052,0,0
1,0,0,1,9.84,14.395,75,0.0,8,5,1,0,1,0,0,0,0,0,8,-4.555,7.38,0,0
1,0,0,1,13.12,17.425,76,0.0,9,5,1,0,1,0,0,0,0,0,9,-4.3050000000000015,9.9712,0,0
1,0,0,1,15.58,19.695,76,16.9979,10,5,1,0,1,0,0,0,0,0,10,-4.115,11.8408,0,0
1,0,0,1,14.76,16.665,81,19.0012,11,5,1,0,1,0,0,1,0,0,11,-1.9049999999999994,11.955599999999999,0,0
1,0,0,1,17.22,21.21,77,19.0012,12,5,1,0,1,0,0,1,0,0,12,-3.990000000000002,13.259399999999998,0,0
1,0,0,2,18.86,22.725,72,19.9995,13,5,1,0,1,0,0,1,0,0,13,-3.865000000000002,13.5792,0,0
1,0,0,2,18.86,22.725,72,19.0012,14,5,1,0,1,0,0,1,0,0,14,-3.865000000000002,13.5792,0,0
1,0,0,2,18.04,21.97,77,19.9995,15,5,1,0,1,0,0,1,0,0,15,-3.9299999999999997,13.890799999999999,0,0
1,0,0,2,17.22,21.21,82,19.9995,16,5,1,0,1,0,0,1,0,0,16,-3.990000000000002,14.1204,0,0
1,0,0,2,18.04,21.97,82,19.0012,17,5,1,0,1,0,0,0,0,0,17,-3.9299999999999997,14.7928,0,0
1,0,0,3,17.22,21.21,88,16.9979,18,5,1,0,1,0,0,0,0,0,18,-3.990000000000002,15.153599999999999,0,1
1,0,0,3,17.22,21.21,88,16.9979,19,5,1,0,1,0,0,0,0,0,19,-3.990000000000002,15.153599999999999,0,1
1,0,0,2,16.4,20.455,87,16.9979,20,5,1,0,1,0,0,0,0,0,20,-4.055,14.267999999999999,0,0
1,0,0,2,16.4,20.455,87,12.998,21,5,1,0,1,0,0,0,0,0,21,-4.055,14.267999999999999,0,0
1,0,0,2,16.4,20.455,94,15.0013,22,5,1,0,1,0,0,0,0,0,22,-4.055,15.415999999999999,0,0
1,0,0,2,18.86,22.725,88,19.9995,23,5,1,0,1,0,0,0,0,0,23,-3.865000000000002,16.596799999999998,0,0
1,0,0,2,18.86,22.725,88,19.9995,0,6,1,0,1,0,0,0,1,0,0,-3.865000000000002,16.596799999999998,0,0
1,0,0,2,18.04,21.97,94,16.9979,1,6,1,0,1,0,0,0,1,0,1,-3.9299999999999997,16.9576,0,0
1,0,0,2,17.22,21.21,100,19.0012,2,6,1,0,1,0,0,0,1,0,2,-3.990000000000002,17.22,0,0
1,0,0,2,18.86,22.725,94,12.998,3,6,1,0,1,0,0,0,1,0,3,-3.865000000000002,17.7284,0,0
1,0,0,2,18.86,22.725,94,12.998,4,6,1,0,1,0,0,0,1,0,4,-3.865000000000002,17.7284,0,0
1,0,0,3,17.22,21.21,77,19.9995,6,6,1,0,1,0,0,0,0,0,6,-3.990000000000002,13.259399999999998,0,1
1,0,0,2,16.4,20.455,76,12.998,7,6,1,0,1,0,0,0,0,0,7,-4.055,12.463999999999999,0,0
1,0,0,3,16.4,20.455,71,15.0013,8,6,1,0,1,0,0,0,0,0,8,-4.055,11.643999999999998,0,1
1,0,0,2,15.58,19.695,76,15.0013,9,6,1,0,1,0,0,0,0,0,9,-4.115,11.8408,0,0
1,0,0,2,14.76,17.425,81,15.0013,10,6,1,0,1,0,0,0,0,0,10,-2.665000000000001,11.955599999999999,0,0
1,0,0,2,14.76,16.665,71,16.9979,11,6,1,0,1,0,0,1,0,0,11,-1.9049999999999994,10.4796,0,0
1,0,0,2,14.76,16.665,66,19.9995,12,6,1,0,1,0,0,1,0,0,12,-1.9049999999999994,9.7416,0,0
1,0,0,2,14.76,17.425,66,8.9981,13,6,1,0,1,0,0,1,0,0,13,-2.665000000000001,9.7416,0,0
1,0,0,3,14.76,17.425,76,12.998,14,6,1,0,1,0,0,1,0,0,14,-2.665000000000001,11.2176,0,1
1,0,0,3,13.94,16.665,81,11.0014,15,6,1,0,1,0,0,1,0,0,15,-2.7249999999999996,11.2914,0,1
1,0,0,3,13.94,16.665,71,11.0014,16,6,1,0,1,0,0,1,0,0,16,-2.7249999999999996,9.8974,0,1
1,0,0,1,13.94,16.665,57,12.998,17,6,1,0,1,0,0,0,0,0,17,-2.7249999999999996,7.945799999999999,0,0
1,0,0,2,14.76,16.665,46,22.0028,18,6,1,0,1,0,0,0,0,0,18,-1.9049999999999994,6.7896,0,0
1,0,0,1,13.12,14.395,42,30.0026,19,6,1,0,1,0,0,0,0,0,19,-1.2750000000000004,5.5104,0,0
1,0,0,1,12.3,13.635,39,23.9994,20,6,1,0,1,0,0,0,0,0,20,-1.334999999999999,4.797000000000001,0,0
1,0,0,1,10.66,11.365,44,22.0028,21,6,1,0,1,0,0,0,0,0,21,-0.7050000000000001,4.6904,0,0
1,0,0,1,9.84,10.605,44,19.9995,22,6,1,0,1,0,0,0,0,0,22,-0.7650000000000006,4.3296,0,0
