datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,wind_was_zero,hour,month
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,8.360373710138203,1,0,1
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,8.526699807019424,1,1,1
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,8.49489169059808,1,2,1
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,8.29935827086356,1,3,1
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,8.28616199432007,1,4,1
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,5,1
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,8.503724702146247,1,6,1
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,8.401507756384364,1,7,1
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,9.065650839538364,1,8,1
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,10.898049229062524,1,9,1
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,0,10,1
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,0,11,1
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,0,12,1
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,0,13,1
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,0,14,1
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,0,15,1
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,0,16,1
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,0,17,1
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,0,18,1
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,0,19,1
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,0,20,1
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,0,21,1
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,0,22,1
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,0,23,1
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,0,0,1
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,0,1,1
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,0,2,1
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,0,3,1
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,0,4,1
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,6,1
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,7,1
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,1
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,0,9,1
